timestamp,symbol,side,entry_price,exit_price,size,pnl,strategy,exit_reason,leverage,entry_regime,entry_adx,entry_rsi,entry_ema20,entry_ema50,entry_volume_ratio,ai_confidence,ai_reasoning
2026-01-25T21:55:06.290964,FARTCOIN,SELL,0.27207,0.27222,235.7,-0.03535500000000919,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-26T12:18:55.321125,HYPE,SELL,22.302,22.041,0.86,0.22445999999999933,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-26T14:33:38.678923,BTC,SELL,87788.0,88009.0,0.00072,-0.15912,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-26T18:18:48.428633,SOL,BUY,123.45,123.39,0.81,-0.04860000000000184,bollinger_middle_bounce,External Close,1.0,TREND,35.87,54.71,122.7803,122.7742,208.3,75,"La tendance haussière est confirmée par le biais du marché et un ADX fort à 35.9. Le prix touche précisément la bande médiane de Bollinger (123.023$), et une bougie verte ferme au-dessus avec un volum"
2026-01-26T19:07:03.090427,SOL,BUY,124.14,124.15,0.25,0.002500000000001279,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-26T19:46:23.366242,BTC,BUY,87801.0,87899.0,0.00056,0.05488,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-26T21:28:40.641833,kPEPE,BUY,0.004978,0.004962,20104.0,-0.3216639999999904,bollinger_middle_bounce,STOP_LOSS,1.0,TREND,35.07,56.68,0.0049,0.0049,15.3,75,Tendance haussière confirmée avec EMA 20 > EMA 50 et ADX > 25. Le prix touche la bande médiane de Bollinger avec une bougie verte de confirmation et un volume élevé. L'entrée est logique au niveau tec
2026-01-27T02:27:27.745535,kPEPE,BUY,0.005,0.005099,19976.0,1.9776240000000025,smart_trend,TAKE_PROFIT,1.0,TREND,29.21,59.93,0.005,0.0049,1067.5,82,La tendance est intacte avec EMA20 au-dessus de EMA50 et le prix touche la bande médiane de Bollinger. L'ADX > 25 confirme une tendance soutenue malgré la légère pente négative. Le pullback offre une 
2026-01-27T17:31:58.582194,SOL,SELL,125.55,126.28,0.8,-0.5840000000000032,bollinger_bounce,External Close,1.0,RANGE,17.78,62.52,124.1371,123.945,775.0,15,"Le signal échoue à plusieurs critères : l'ADX montre une hausse significative (+2.8), indiquant un risque de breakout imminent. Le RSI à 69.4 n'est pas suffisamment extrême pour justifier un fade, et "
2026-01-28T06:59:51.335535,HYPE,BUY,32.867,32.755,1.53,-0.171359999999992,Manual (TREND - Adopted),STOP_LOSS,1.0,,,,,,,,
2026-01-28T09:04:30.180853,HYPE,SELL,32.789,34.132,1.72,-2.309959999999994,Manual (TREND - Adopted),STOP_LOSS,1.0,,,,,,,,
2026-01-28T12:52:48.553336,SOL,BUY,127.28,127.9,0.2,0.12400000000000092,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-28T15:49:12.146458,ETH,BUY,3030.0,3012.0,0.0069,-0.1242,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-28T18:55:23.399517,ETH,BUY,3008.6,3024.8,0.0194,0.3142800000000053,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-28T20:39:25.982899,HYPE,SELL,33.298,33.263,0.92,0.0322000000000034,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-28T20:42:49.526190,HYPE,SELL,33.148,33.082,1.74,0.11484000000000436,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-28T20:49:16.781693,HYPE,SELL,33.121,33.342,1.5,-0.3314999999999948,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-28T21:35:03.530572,FARTCOIN,BUY,0.30402,0.30487,169.8,0.14432999999999355,Manual (Sync),External Close,1.0,,,,,,,,
2026-01-29T07:40:12.003132,HYPE,SELL,32.821,32.708,0.82,0.09265999999999962,Manual (Safety - Adopted),STOP_LOSS,1.0,,,,,,,,
2026-01-29T12:20:20.099430,HYPE,BUY,32.6697,32.029,1.04,-0.6663279999999953,Manual (Safety - Adopted),STOP_LOSS,1.0,,,,,,,,
2026-01-30T00:27:50.308200,FARTCOIN,SELL,0.26448,0.26143,261.7,0.7981849999999993,bollinger_middle_bounce,External Close,1.0,TREND,37.44,34.8,0.2721,0.2822,6.6,72,"Direction SELL alignée avec le biais baissier, la hiérarchie EMA (EMA 20 < EMA 50) et le régime de tendance. Le prix actuel touche la bande médiane de Bollinger (SMA 20), offrant une zone de valeur po"
2026-01-30T07:27:27.605057,kPEPE,SELL,0.004664,0.004551,25709.0,2.905116999999984,bollinger_middle_bounce,TAKE_PROFIT,1.0,TREND,27.42,44.8,0.0047,0.0048,11.1,85,"Le marché est en tendance baissière avec un ADX supérieur à 25 confirmant la force. Le prix a touché la bande moyenne de Bollinger et a fermé en dessous avec un pic de volume, validant la reprise de l"
2026-01-31T21:59:17.840768,BTC,BUY,77813.0,78017.0,0.0003,0.0612,Manual (Safety - Adopted),External Close,1.0,,,,,,,,
